MID,IncidentID,SourceName,Date,SourceInfo
3564,3564007,Sunday Times.,5/10/92,"May 10, 1992. Overseas News."
3564,3564007,Agence France Presse.,5/11/92,"May 11, 1992. News."
3564,3564008,Agence Presse France,5/18/92,"May 18, 1992. News."
3564,3564008,The Toronto Star.,5/19/92,"May 19, 1992. News; Page A18."
3564,3564008,"The Russian Information Agency, TASS.",5/19/92,"May 19, 1992."
3564,3564008,The Daily Telegraph.,5/19/92,"May 19, 1992. International; page 12."
3564,3564008,Russian Press Digest.,5/21/92,"May 21, 1992. News."
3564,3564008,Agence Presse France.,5/22/92,"May 22, 1992. News."
3564,3564009,Agence France Presse.,6/12/92,"June 12, 1992. News."
3564,3564010,The Associated Press.,6/18/92,"June 18, 1992. International News."
3564,3564010,BBC Summary of World Broadcasts.,6/18/92,"June 18, 1992. Part 1 The USSR."
3564,3564011,The Independent (London),7/21/92,"July 21, 1992. International News Page; Page 10."
3564,3564011,BBC Summary of World Broadcasts.,7/21/92,"July 21, 1992. Part 1 The USSR."
3564,3564011,BBC Summary of World Broadcasts.,7/24/92,"July 24, 1992. Part 1 The USSR."
3564,3564012,BBC Summary of World Broadcasts.,7/29/92,"July 29, 1992. Part 1 The USSR."
3564,3564013,U.P.I.,8/9/92,"August 9, 1992. International."
3564,3564014,"The Russian Information Agency, TASS.",11/23/92,"November 23, 1992."
3564,3564015,BBC Summary of World Broadcasts.,12/23/92,"December 23, 1992. Part 1 The USSR."
3564,3564015,Agence France Press.,12/24/92,"December 24, 1992. News."
3564,3564021,LONDT,4/8/93,"d4/8/93, International: p14"
3564,3564022,The Herald (Glasgow),4/17/93,"d4/17/93, p4"
3564,3564022,FOF,4/22/93,"d4/22/93, v53, #2734, p294, D2"
3564,3564024,The Herald (Glasgow),4/17/93,"d4/17/93, p4"
3564,3564024,FOF,4/22/93,"d4/22/93, v53, #2734, p294, D2"
3564,3564027,LONDIND,9/4/93,"d9/4/93, International news, p8"
3564,3564027,UPI,9/3/93,"d9/3/93, BC cycle"
3564,3564027,XGNS,9/3/93,d9/3/93
3564,3564027,UPI,9/17/93,"d9/17/93, International"
3564,3564027,PANEWS,9/4/93,"d9/4/93, section 000"
3564,3564027,AP,9/4/93,"d9/4/93,, International News"
3564,3564034,AP,9/4/93,"d9/4/93, International News"
3564,3564034,BBC,9/7/93,"d9/7/93, Part 2: EE/1787/B"
3564,3564034,OTTCIT,9/5/93,"d9/5/93, News, pA4"
3564,3564031,UPI,9/3/93,"d9/3/1993, BC cycle, General News"
3564,3564031,AP,9/3/93,"d9/3/1993, AM cycle, International News"
3564,3564026,UPI,9/3/93,"d9/3/93, BC Cycle, International"
3568,*,"UPI, Oct 7 1992",,"""Three Kuwaiti soldiers reported injured in Iraqi border attack"""
3568,*,"The Associated Press, Oct 7 1992",,"""Three Kuwaiti policemen wounded in border clash"""
3568,*,"Moneyclips (GCC) Ltd, Oct 7 1997",,"""Kuwait border clash with Iraqis"""
3568,3568015,Lexis/Nexis,10-Nov,"AP, Nov 10"
3568,3568015,Lexis/Nexis,13-Nov,"AP, Nov. 13"
3568,3568014,"Lexis Nexis - AP October 18, 1993",,International News
3568,3568016,1993,,Item 1121146
3568,3568013,Lexis-Nexis,6/7/93,"Money Clips (GCC) Ltd., June 7, 1993"
3568,3568012,Lexis-Nexis,6/17/93,"Xinhua General Overseas News, June 17, 1993, Item 0617156"
3568,3568010,Lexis-Nexis,5/3/93,"London Independent, May 3, 1993, International News Page, pg. 8"
3568,3568008,Lexis-Nexis,3/5/93,"AP, March 5, 1993, PM Cycle"
3568,3568008,Lexis-Nexis,3/5/93,"Xinhua General Overseas News Service, March 5, 1993, Item 0305158"
3568,3568007,Lexis-Nexis,1/20/93,"Xinhua General Overseas News Sevice, January 20, 1993, Item 0120115"
3568,3568007,Lexis-Nexis,1/21/93,"Xinhua General Overseas News Service, January 21, 1993, Item 0120146"
3568,3568006,Lexis-Nexis,1/19/93,"Calgary Herald, January 19, 1993, News, Pg. A1"
3568,3568006,Lexis-Nexis,1/16/93,"The Daily Telegraph, January 16, 1993, International, pg. 11"
3568,3568004,Lexis-Nexis,1/12/93,"The Times, January 12, 1993, Overseas News"
3568,3568002,Lexis-Nexis,1/7/93,"Xinhua General Overseas News Service, January 7, 1993, Item 0107199"
3568,3568002,Lexis-Nexis,1/7/93,"AP, January 7, 1993, Int'l News"
3568,3568001,Lexis-Nexis,1/7/93,"CNN News, January 7, 1993, Transcript #158-3"
3568,3568001,Lexis-Nexis,1/7/93,"Moneyclips, January 7, 1993, Insight/ Middle East Newsfile"
